tei_section_id	tei_node_id	tei_node_type	sentence_id	phrase_id	word	part_of_speech	accent	phoneme	stress	tone	break_index
5000000517	6000000527	sp	1	1	Hung	NNP	H*	h V N	1	H-L%	4
5000000517	6000000527	sp	1	1	be	VB	H*	b i	1	H-L%	4
5000000517	6000000527	sp	1	1	the	DT		D @	0	H-L%	4
5000000517	6000000527	sp	1	1	heavens	NNS	H*	h E	1	H-L%	4
5000000517	6000000527	sp	1	1	heavens	NNS	H*	v @ n z	0	H-L%	4
5000000517	6000000527	sp	1	1	with	IN		w I D	1	H-L%	4
5000000517	6000000527	sp	1	1	black	JJ	H*	b l { k	1	H-L%	4
5000000517	6000000527	sp	1	1	,	,				H-L%	4
5000000517	6000000527	sp	1	2	yield	VB	H*	j i l d	1	L-L%	5
5000000517	6000000527	sp	1	2	day	NN	H*	d EI	1	L-L%	5
5000000517	6000000527	sp	1	2	to	TO		t u	1	L-L%	5
5000000517	6000000527	sp	1	2	night	NN	H*	n AI t	1	L-L%	5
5000000517	6000000527	sp	1	2	!	.				L-L%	5
5000000517	6000000527	sp	2	1	Comets	NNS	H*	k A	1	H-L%	4
5000000517	6000000527	sp	2	1	Comets	NNS	H*	m @ t s	0	H-L%	4
5000000517	6000000527	sp	2	1	,	,				H-L%	4
5000000517	6000000527	sp	2	2	importing	VBG	H*	I m	0	H-L%	4
5000000517	6000000527	sp	2	2	importing	VBG	H*	p O r	1	H-L%	4
5000000517	6000000527	sp	2	2	importing	VBG	H*	t I N	0	H-L%	4
5000000517	6000000527	sp	2	2	change	NN	H*	tS EI n dZ	1	H-L%	4
5000000517	6000000527	sp	2	2	of	IN		V v	1	H-L%	4
5000000517	6000000527	sp	2	2	times	NNS	H*	t AI m z	1	H-L%	4
5000000517	6000000527	sp	2	2	and	CC		{ n d	1	H-L%	4
5000000517	6000000527	sp	2	2	states	NNS	H*	s	0	H-L%	4
5000000517	6000000527	sp	2	2	states	NNS	H*	t EI t s	1	H-L%	4
5000000517	6000000527	sp	2	2	,	,				H-L%	4
5000000517	6000000527	sp	2	3	Brandish	JJ	H*	b r { n	1	H-L%	4
5000000517	6000000527	sp	2	3	Brandish	JJ	H*	d I S	0	H-L%	4
5000000517	6000000527	sp	2	3	your	PRP$		j O r	1	H-L%	4
5000000517	6000000527	sp	2	3	crystal	NN	H*	k r I s	1	H-L%	4
5000000517	6000000527	sp	2	3	crystal	NN	H*	t @ l	0	H-L%	4
5000000517	6000000527	sp	2	3	tresses	NNS	H*	t r E	1	H-L%	4
5000000517	6000000527	sp	2	3	tresses	NNS	H*	s I z	0	H-L%	4
5000000517	6000000527	sp	2	3	in	IN		I n	1	H-L%	4
5000000517	6000000527	sp	2	3	the	DT		D @	0	H-L%	4
5000000517	6000000527	sp	2	3	sky	NN	H*	s	0	H-L%	4
5000000517	6000000527	sp	2	3	sky	NN	H*	k AI	1	H-L%	4
5000000517	6000000527	sp	2	3	,	,				H-L%	4
5000000517	6000000527	sp	2	4	And	CC		{ n d	1	L-L%	5
5000000517	6000000527	sp	2	4	with	IN		w I D	1	L-L%	5
5000000517	6000000527	sp	2	4	them	PRP		D E m	1	L-L%	5
5000000517	6000000527	sp	2	4	scourge	VB	H*	s	0	L-L%	5
5000000517	6000000527	sp	2	4	scourge	VB	H*	k r= dZ	1	L-L%	5
5000000517	6000000527	sp	2	4	the	DT		D @	0	L-L%	5
5000000517	6000000527	sp	2	4	bad	JJ	H*	b { d	1	L-L%	5
5000000517	6000000527	sp	2	4	revolting	NN	H*	r i	0	L-L%	5
5000000517	6000000527	sp	2	4	revolting	NN	H*	v @U l	1	L-L%	5
5000000517	6000000527	sp	2	4	revolting	NN	H*	t I N	0	L-L%	5
5000000517	6000000527	sp	2	4	stars	NNS	H*	s	0	L-L%	5
5000000517	6000000527	sp	2	4	stars	NNS	H*	t A r z	1	L-L%	5
5000000517	6000000527	sp	2	4	That	WDT		D { t	1	L-L%	5
5000000517	6000000527	sp	2	4	have	VBP		h { v	1	L-L%	5
5000000517	6000000527	sp	2	4	consented	VBN	H*	k @ n	0	L-L%	5
5000000517	6000000527	sp	2	4	consented	VBN	H*	s E n	1	L-L%	5
5000000517	6000000527	sp	2	4	consented	VBN	H*	t I d	0	L-L%	5
5000000517	6000000527	sp	2	4	unto	IN		V n	1	L-L%	5
5000000517	6000000527	sp	2	4	unto	IN		t u	0	L-L%	5
5000000517	6000000527	sp	2	4	"Henry's"	NN	H*	h E n	1	L-L%	5
5000000517	6000000527	sp	2	4	"Henry's"	NN	H*	r i	0	L-L%	5
5000000517	6000000527	sp	2	4	"Henry's"	POS		z	0	L-L%	5
5000000517	6000000527	sp	2	4	death	NN	H*	d E T	1	L-L%	5
5000000517	6000000527	sp	2	4	!	.				L-L%	5
5000000517	6000000527	sp	3	1	King	NNP	H*	k I N	1	H-L%	4
5000000517	6000000527	sp	3	1	Henry	NNP	H*	h E n	1	H-L%	4
5000000517	6000000527	sp	3	1	Henry	NNP	H*	r i	0	H-L%	4
5000000517	6000000527	sp	3	1	the	DT		D @	0	H-L%	4
5000000517	6000000527	sp	3	1	Fifth	NNP	H*	f I f T	1	H-L%	4
5000000517	6000000527	sp	3	1	,	,				H-L%	4
5000000517	6000000527	sp	3	2	too	RB		t u	1	L-L%	5
5000000517	6000000527	sp	3	2	famous	JJ	H*	f EI	1	L-L%	5
5000000517	6000000527	sp	3	2	famous	JJ	H*	m @ s	0	L-L%	5
5000000517	6000000527	sp	3	2	to	TO		t u	1	L-L%	5
5000000517	6000000527	sp	3	2	live	VB	H*	l AI v	1	L-L%	5
5000000517	6000000527	sp	3	2	long	RB		l O N	1	L-L%	5
5000000517	6000000527	sp	3	2	!	.				L-L%	5
5000000517	6000000527	sp	4	1	England	NNP	L+H*	I N	1	L-L%	6
5000000517	6000000527	sp	4	1	England	NNP	L+H*	g l @ n d	0	L-L%	6
5000000517	6000000527	sp	4	1	"ne'er"	NN	L+H*	n I r	1	L-L%	6
5000000517	6000000527	sp	4	1	lost	VBD	L+H*	l O s t	1	L-L%	6
5000000517	6000000527	sp	4	1	a	DT		@	0	L-L%	6
5000000517	6000000527	sp	4	1	king	NN	L+H*	k I N	1	L-L%	6
5000000517	6000000527	sp	4	1	of	IN		V v	1	L-L%	6
5000000517	6000000527	sp	4	1	so	RB		s @U	1	L-L%	6
5000000517	6000000527	sp	4	1	much	JJ	L+H*	m V tS	1	L-L%	6
5000000517	6000000527	sp	4	1	worth	NN	!H*	w r= T	1	L-L%	6
5000000517	6000000527	sp	4	1	.	.				L-L%	6
5000000517	6000000554	sp	1	1	England	NNP	L+H*	I N	1	L-L%	5
